place,movie_title,rating,year,star_cast
212,Platoon,8.045946390941978,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
213,Stand by Me,8.040321912000634,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
214,Pather Panchali,8.040246837371546,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
215,The Terminator,8.040158995355188,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
216,Spotlight,8.04003040240906,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
217,Logan,8.038010113121434,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
218,Rush,8.037705957537115,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
219,Ratatouille,8.037216148638704,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
220,Network,8.036234010584907,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
221,Into the Wild,8.034616300670839,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
222,Everything Everywhere All at Once,8.034103724035578,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu"
223,The Wizard of Oz,8.032405154395828,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
224,Before Sunset,8.03077024373811,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
225,Groundhog Day,8.029212910376621,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
226,The Exorcist,8.027624182007811,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
227,Jai Bhim,8.027076286702933,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
228,The Best Years of Our Lives,8.025182051180233,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
229,The Incredibles,8.02511110727724,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
230,To Be or Not to Be,8.025020325839856,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
231,La battaglia di Algeri,8.02430455669616,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
232,Hachi: A Dog's Tale,8.02243899720676,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
233,The Grapes of Wrath,8.02146531567852,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
234,Rebecca,8.021406112274061,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
235,Pirates of the Caribbean: The Curse of the Black Pearl,8.021137206786229,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
236,Amores perros,8.021048633968682,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
237,Babam ve Oglum,8.020817645877138,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
238,La haine,8.02048531313721,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
239,Cool Hand Luke,8.019859704116232,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
240,Les quatre cents coups,8.016215939497515,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
241,Persona,8.014912330620977,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
242,Ah-ga-ssi,8.013566726616054,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
243,It Happened One Night,8.013124254730636,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
244,The Sound of Music,8.012883390986223,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
245,Life of Brian,8.01243613072654,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
246,Dersu Uzala,8.008622707042678,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
247,The Help,8.004953799401568,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
248,Gandhi,8.004866178479936,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
249,Aladdin,8.004818115680994,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
250,The Iron Giant,8.003732372543244,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
